Equipo A,Equipo B,Distancia
Cleveland Cavaliers,San Antonio Spurs,2020
Cleveland Cavaliers,New Orleans Hornets,1486
Cleveland Cavaliers,Oklahoma City Thunder,1526
Cleveland Cavaliers,Orlando Magic,1440
Cleveland Cavaliers,Washington Wizards,490
Cleveland Cavaliers,Boston Celtics,883
Cleveland Cavaliers,Portland Trail Blazers,3294
Cleveland Cavaliers,Los Angeles Lakers,3286
Cleveland Cavaliers,Sacramento Kings,3369
Cleveland Cavaliers,Indiana Pacers,422
Cleveland Cavaliers,Phoenix Suns,2806
Cleveland Cavaliers,Utah Jazz,2514
Cleveland Cavaliers,Houston Rockets,1790
Cleveland Cavaliers,Toronto Raptors,307
Cleveland Cavaliers,Miami Heat,1752
Cleveland Cavaliers,Los Angeles Clippers,3286
Cleveland Cavaliers,Atlanta Hawks,893
Cleveland Cavaliers,Milwaukee Bucks,538
Cleveland Cavaliers,Brooklyn Nets,655
Cleveland Cavaliers,New Orleans Pelicans,1486
Cleveland Cavaliers,Charlotte Hornets,700
Boston Celtics,Philadelphia 76ers,426
Boston Celtics,Detroit Pistons,983
Boston Celtics,Chicago Bulls,1366
Boston Celtics,Minnesota Timberwolves,1801
Boston Celtics,New York Knicks,305
Boston Celtics,Denver Nuggets,2837
Boston Celtics,Golden State Warriors,4315
Boston Celtics,Dallas Mavericks,2490
Boston Celtics,New Jersey Nets,306
Boston Celtics,Charlotte Bobcats,1158
Boston Celtics,Memphis Grizzlies,1828
Boston Celtics,San Antonio Spurs,2837
Boston Celtics,New Orleans Hornets,2183
Boston Celtics,Oklahoma City Thunder,2399
Boston Celtics,Orlando Magic,1793
Boston Celtics,Washington Wizards,633
Boston Celtics,Cleveland Cavaliers,883
Boston Celtics,Portland Trail Blazers,4071
Boston Celtics,Los Angeles Lakers,4164
Boston Celtics,Sacramento Kings,4219
Boston Celtics,Indiana Pacers,1295
Boston Celtics,Phoenix Suns,3689
Boston Celtics,Utah Jazz,3365
Boston Celtics,Houston Rockets,2577
Boston Celtics,Toronto Raptors,694
Boston Celtics,Miami Heat,2021
Boston Celtics,Los Angeles Clippers,4164
Boston Celtics,Atlanta Hawks,1504
Boston Celtics,Milwaukee Bucks,1375
Boston Celtics,Brooklyn Nets,306
Boston Celtics,New Orleans Pelicans,2183
Boston Celtics,Charlotte Hornets,1158
Portland Trail Blazers,Philadelphia 76ers,1210
Portland Trail Blazers,Detroit Pistons,3157
Portland Trail Blazers,Chicago Bulls,2819
Portland Trail Blazers,Minnesota Timberwolves,2287
Portland Trail Blazers,New York Knicks,3920
Portland Trail Blazers,Denver Nuggets,1577
Portland Trail Blazers,Golden State Warriors,858
Portland Trail Blazers,Dallas Mavericks,2621
Portland Trail Blazers,New Jersey Nets,3927
Portland Trail Blazers,Charlotte Bobcats,3672
Portland Trail Blazers,Memphis Grizzlies,2970
Portland Trail Blazers,San Antonio Spurs,2762
Portland Trail Blazers,New Orleans Hornets,3310
Portland Trail Blazers,Oklahoma City Thunder,2386
Portland Trail Blazers,Orlando Magic,4059
Portland Trail Blazers,Washington Wizards,3773
Portland Trail Blazers,Cleveland Cavaliers,3294
Portland Trail Blazers,Boston Celtics,4071
Portland Trail Blazers,Los Angeles Lakers,1328
Portland Trail Blazers,Sacramento Kings,777
Portland Trail Blazers,Indiana Pacers,3023
Portland Trail Blazers,Phoenix Suns,1617
Portland Trail Blazers,Utah Jazz,1020
Portland Trail Blazers,Houston Rockets,2947
Portland Trail Blazers,Toronto Raptors,3384
Portland Trail Blazers,Miami Heat,4347
Portland Trail Blazers,Los Angeles Clippers,1328
Portland Trail Blazers,Atlanta Hawks,3486
Portland Trail Blazers,Milwaukee Bucks,2756
Portland Trail Blazers,Brooklyn Nets,3927
Portland Trail Blazers,New Orleans Pelicans,3310
Portland Trail Blazers,Charlotte Hornets,3672
Los Angeles Lakers,Philadelphia 76ers,4006
Los Angeles Lakers,Detroit Pistons,3181
Los Angeles Lakers,Chicago Bulls,2798
Los Angeles Lakers,Minnesota Timberwolves,2445
Los Angeles Lakers,New York Knicks,3930
Los Angeles Lakers,Denver Nuggets,1334
Los Angeles Lakers,Golden State Warriors,552
Los Angeles Lakers,Dallas Mavericks,1988
Los Angeles Lakers,New Jersey Nets,3936
Los Angeles Lakers,Charlotte Bobcats,3399
Los Angeles Lakers,Memphis Grizzlies,2571
Los Angeles Lakers,San Antonio Spurs,1931
Los Angeles Lakers,New Orleans Hornets,2683
Los Angeles Lakers,Oklahoma City Thunder,1894
Los Angeles Lakers,Orlando Magic,3532
Los Angeles Lakers,Washington Wizards,3687
Los Angeles Lakers,Cleveland Cavaliers,3286
Los Angeles Lakers,Boston Celtics,4164
Los Angeles Lakers,Portland Trail Blazers,1328
Los Angeles Lakers,Sacramento Kings,581
